iter	Passed	Remaining
0	8	5369
1	16	4993
2	24	4967
3	32	4981
4	39	4903
5	44	4587
6	48	4267
7	54	4178
8	61	4176
9	68	4188
10	76	4205
11	82	4191
12	86	4008
13	93	4016
14	99	3980
15	106	4012
16	109	3878
17	113	3770
18	120	3785
19	127	3819
20	135	3850
21	143	3900
22	152	3940
23	160	3964
24	165	3932
25	169	3869
26	177	3882
27	181	3821
28	189	3842
29	197	3864
30	201	3809
31	208	3823
32	216	3830
33	223	3830
34	225	3759
35	230	3732
36	238	3745
37	246	3766
38	252	3744
39	257	3715
40	264	3720
41	271	3718
42	278	3719
43	285	3722
44	290	3695
45	297	3703
46	305	3708
47	312	3715
48	319	3710
49	326	3713
50	334	3714
51	342	3724
52	350	3734
53	358	3746
54	366	3750
55	373	3751
56	380	3748
57	387	3740
58	394	3741
59	402	3739
60	408	3733
61	416	3733
62	423	3733
63	430	3727
64	437	3724
65	444	3721
66	453	3728
67	460	3726
68	467	3723
69	475	3721
70	482	3716
71	487	3700
72	495	3696
73	501	3689
74	506	3670
75	513	3665
76	520	3659
77	528	3657
78	535	3656
79	543	3653
80	550	3647
81	557	3644
82	564	3638
83	572	3637
84	579	3635
85	587	3636
86	595	3633
87	603	3631
88	610	3629
89	618	3626
90	625	3620
91	632	3614
92	639	3608
93	646	3604
94	653	3599
95	661	3595
96	668	3592
97	676	3591
98	684	3590
99	692	3585
100	699	3579
101	706	3573
102	713	3567
103	720	3560
104	727	3554
105	735	3550
106	742	3546
107	750	3544
108	758	3540
109	765	3533
110	772	3528
111	779	3522
112	787	3518
113	794	3512
114	801	3505
115	808	3497
116	815	3490
117	822	3485
118	830	3482
119	838	3479
120	846	3475
121	853	3470
122	860	3464
123	868	3459
124	875	3453
125	882	3447
126	889	3439
127	897	3433
128	903	3426
129	911	3420
130	918	3413
131	925	3406
132	932	3401
133	940	3396
134	947	3391
135	955	3385
136	962	3378
137	970	3374
138	977	3368
139	985	3364
140	993	3360
141	1001	3356
142	1010	3355
143	1018	3352
144	1026	3349
145	1035	3349
146	1044	3345
147	1051	3340
148	1059	3334
149	1066	3327
150	1074	3322
151	1088	3338
152	1100	3343
153	1109	3342
154	1116	3336
155	1127	3340
156	1136	3336
157	1144	3330
158	1151	3324
159	1159	3319
160	1167	3313
161	1175	3307
162	1182	3300
163	1190	3296
164	1198	3291
165	1206	3283
166	1213	3278
167	1221	3272
168	1229	3265
169	1237	3260
170	1244	3253
171	1252	3247
172	1260	3241
173	1268	3236
174	1275	3229
175	1283	3222
176	1289	3214
177	1296	3205
178	1303	3196
179	1310	3187
180	1317	3182
181	1326	3176
182	1333	3170
183	1341	3164
184	1349	3159
185	1357	3152
186	1365	3146
187	1372	3139
188	1379	3132
189	1386	3123
190	1393	3115
191	1400	3107
192	1407	3099
193	1414	3092
194	1422	3085
195	1430	3079
196	1437	3071
197	1443	3063
198	1450	3054
199	1457	3046
200	1464	3038
201	1471	3030
202	1479	3024
203	1486	3016
204	1493	3008
205	1500	3000
206	1506	2991
207	1514	2984
208	1521	2977
209	1528	2969
210	1536	2962
211	1543	2956
212	1550	2948
213	1557	2939
214	1564	2931
215	1571	2923
216	1578	2916
217	1585	2909
218	1593	2902
219	1600	2895
220	1607	2887
221	1614	2879
222	1621	2871
223	1628	2864
224	1635	2857
225	1643	2850
226	1650	2842
227	1657	2835
228	1664	2828
229	1671	2820
230	1678	2812
231	1685	2804
232	1692	2796
233	1699	2788
234	1706	2781
235	1714	2775
236	1722	2768
237	1729	2761
238	1736	2754
239	1743	2746
240	1750	2739
241	1758	2732
242	1765	2724
243	1772	2717
244	1779	2709
245	1786	2701
246	1793	2693
247	1800	2685
248	1807	2678
249	1813	2670
250	1821	2663
251	1828	2656
252	1836	2649
253	1843	2641
254	1850	2634
255	1857	2626
256	1864	2619
257	1872	2612
258	1879	2605
259	1887	2599
260	1894	2591
261	1902	2585
262	1910	2578
263	1917	2571
264	1924	2564
265	1931	2556
266	1939	2549
267	1946	2541
268	1953	2534
269	1960	2527
270	1967	2519
271	1975	2513
272	1982	2505
273	1989	2497
274	1995	2489
275	2003	2482
276	2010	2474
277	2017	2467
278	2025	2460
279	2032	2453
280	2039	2446
281	2046	2438
282	2054	2431
283	2060	2423
284	2068	2416
285	2074	2408
286	2081	2401
287	2088	2393
288	2095	2385
289	2102	2377
290	2109	2370
291	2116	2363
292	2123	2355
293	2131	2348
294	2138	2341
295	2146	2335
296	2154	2328
297	2161	2321
298	2168	2313
299	2174	2305
300	2181	2297
301	2188	2289
302	2196	2282
303	2204	2276
304	2211	2269
305	2218	2262
306	2226	2255
307	2233	2248
308	2240	2240
309	2247	2232
310	2254	2225
311	2262	2218
312	2269	2211
313	2277	2204
314	2284	2197
315	2292	2190
316	2299	2182
317	2305	2175
318	2312	2167
319	2319	2160
320	2326	2152
321	2333	2144
322	2340	2137
323	2347	2130
324	2355	2123
325	2362	2116
326	2369	2108
327	2377	2101
328	2384	2094
329	2391	2087
330	2398	2079
331	2405	2072
332	2412	2064
333	2419	2056
334	2425	2049
335	2432	2041
336	2440	2034
337	2448	2028
338	2455	2021
339	2463	2014
340	2470	2007
341	2477	1999
342	2484	1992
343	2491	1984
344	2498	1977
345	2506	1970
346	2513	1963
347	2520	1955
348	2527	1948
349	2535	1941
350	2542	1933
351	2548	1926
352	2556	1918
353	2562	1911
354	2569	1903
355	2577	1896
356	2584	1889
357	2591	1881
358	2597	1874
359	2604	1866
360	2611	1859
361	2618	1851
362	2625	1844
363	2632	1837
364	2639	1829
365	2646	1822
366	2653	1814
367	2660	1807
368	2667	1799
369	2673	1792
370	2680	1784
371	2688	1777
372	2695	1770
373	2702	1762
374	2709	1755
375	2716	1748
376	2723	1741
377	2731	1734
378	2738	1727
379	2746	1720
380	2754	1713
381	2760	1705
382	2768	1698
383	2775	1691
384	2782	1683
385	2788	1676
386	2796	1669
387	2802	1661
388	2809	1653
389	2816	1646
390	2823	1638
391	2830	1631
392	2836	1624
393	2844	1617
394	2851	1609
395	2858	1602
396	2865	1595
397	2872	1587
398	2879	1580
399	2886	1573
400	2894	1566
401	2901	1558
402	2908	1551
403	2914	1543
404	2921	1536
405	2928	1529
406	2936	1522
407	2943	1515
408	2950	1507
409	2957	1500
410	2964	1493
411	2971	1485
412	2978	1478
413	2986	1471
414	2993	1464
415	3000	1457
416	3008	1450
417	3015	1442
418	3022	1435
419	3029	1428
420	3036	1420
421	3043	1413
422	3050	1406
423	3056	1398
424	3064	1391
425	3071	1384
426	3078	1376
427	3085	1369
428	3092	1362
429	3099	1355
430	3107	1348
431	3114	1341
432	3122	1333
433	3129	1326
434	3137	1319
435	3143	1312
436	3150	1304
437	3157	1297
438	3164	1290
439	3172	1283
440	3179	1276
441	3187	1269
442	3195	1262
443	3202	1255
444	3210	1247
445	3217	1240
446	3224	1233
447	3231	1226
448	3238	1218
449	3245	1211
450	3252	1204
451	3259	1197
452	3266	1189
453	3273	1182
454	3280	1175
455	3287	1167
456	3294	1160
457	3302	1153
458	3309	1146
459	3317	1139
460	3324	1132
461	3331	1125
462	3338	1117
463	3345	1110
464	3352	1103
465	3359	1095
466	3367	1088
467	3375	1081
468	3382	1074
469	3390	1067
470	3397	1060
471	3404	1052
472	3410	1045
473	3418	1038
474	3425	1031
475	3432	1023
476	3439	1016
477	3446	1009
478	3453	1002
479	3459	994
480	3467	987
481	3473	980
482	3481	973
483	3488	965
484	3496	958
485	3504	951
486	3511	944
487	3519	937
488	3525	930
489	3532	922
490	3539	915
491	3546	908
492	3553	900
493	3561	893
494	3568	886
495	3575	879
496	3582	872
497	3589	864
498	3596	857
499	3603	850
500	3611	843
501	3619	836
502	3626	829
503	3633	821
504	3640	814
505	3647	807
506	3653	799
507	3660	792
508	3668	785
509	3675	778
510	3682	771
511	3689	763
512	3697	756
513	3703	749
514	3711	742
515	3718	735
516	3726	727
517	3733	720
518	3741	713
519	3748	706
520	3756	699
521	3763	692
522	3770	684
523	3777	677
524	3784	670
525	3791	663
526	3797	655
527	3805	648
528	3812	641
529	3819	634
530	3826	626
531	3834	619
532	3841	612
533	3848	605
534	3856	598
535	3863	591
536	3870	583
537	3876	576
538	3882	569
539	3889	561
540	3896	554
541	3903	547
542	3910	540
543	3917	532
544	3924	525
545	3930	518
546	3938	511
547	3945	504
548	3953	496
549	3961	489
550	3968	482
551	3976	475
552	3982	468
553	3989	460
554	3996	453
555	4003	446
556	4010	439
557	4017	432
558	4024	424
559	4031	417
560	4037	410
561	4044	403
562	4051	395
563	4058	388
564	4066	381
565	4073	374
566	4080	366
567	4086	359
568	4093	352
569	4100	345
570	4106	338
571	4113	330
572	4120	323
573	4127	316
574	4134	309
575	4140	301
576	4148	294
577	4156	287
578	4163	280
579	4170	273
580	4177	266
581	4184	258
582	4191	251
583	4198	244
584	4205	237
585	4212	230
586	4220	222
587	4226	215
588	4233	208
589	4240	201
590	4248	194
591	4255	186
592	4262	179
593	4269	172
594	4276	165
595	4284	158
596	4292	150
597	4299	143
598	4306	136
599	4313	129
600	4320	122
601	4326	115
602	4333	107
603	4341	100
604	4348	93
605	4355	86
606	4362	79
607	4369	71
608	4376	64
609	4383	57
610	4390	50
611	4397	43
612	4404	35
613	4411	28
614	4418	21
615	4424	14
616	4431	7
617	4439	0
